Row,Date,CO
1006,2013-11-06,4
1007,2013-11-09,10
1008,2013-11-10,6
1009,2013-11-11,2
1010,2013-11-12,4
1011,2013-11-16,2
1012,2013-11-17,6
1013,2013-11-18,2
1014,2013-11-19,8
1015,2013-11-20,1
1016,2013-11-23,9
1017,2013-11-24,2
1018,2013-11-25,2
1019,2013-11-26,13
1020,2013-11-27,4
1021,2013-11-30,7
1022,2013-12-01,8
1023,2013-12-02,6
1024,2013-12-03,3
1025,2013-12-04,4
1026,2013-12-07,6
1027,2013-12-08,1
1028,2013-12-09,5
1029,2013-12-10,13
1030,2013-12-11,1
1031,2013-12-14,7
1032,2013-12-15,4
1033,2013-12-16,4
1034,2013-12-17,6
1035,2013-12-18,2
1036,2013-12-21,2
1037,2013-12-22,19
1038,2013-12-24,7
1039,2013-12-25,3
1040,2013-12-28,27
1041,2013-12-29,11
1042,2013-12-30,5
1043,2014-01-04,7
1044,2014-01-05,6
1045,2014-01-06,1
1046,2014-01-07,4
1047,2014-01-08,12
1048,2014-01-11,18
1049,2014-01-12,8
1050,2014-01-13,14
1051,2014-01-15,2
1052,2014-01-18,1
1053,2014-01-20,7
1054,2014-01-21,1
1055,2014-01-22,5
1056,2014-01-25,3
1057,2014-01-27,29
1058,2014-01-28,5
1059,2014-01-29,2
1060,2014-02-01,4
1061,2014-02-02,5
1062,2014-02-03,2
1063,2014-02-04,2
1064,2014-02-05,2
1065,2014-02-08,18
1066,2014-02-09,4
1067,2014-02-10,12
1068,2014-02-12,2
1069,2014-02-15,9
1070,2014-02-16,9
1071,2014-02-17,4
1072,2014-02-18,3
1073,2014-02-19,3
1074,2014-02-22,8
1075,2014-02-23,1
1076,2014-02-24,3
1077,2014-02-25,2
1078,2014-02-26,2
1079,2014-03-01,1
1080,2014-03-03,1
1081,2014-03-04,3
1082,2014-03-05,3
1083,2014-03-08,2
1084,2014-03-09,3
1085,2014-03-10,2
1086,2014-03-11,1
1087,2014-03-12,3
1088,2014-03-15,5
1089,2014-03-16,1
1090,2014-03-17,41
1091,2014-03-18,12
1092,2014-03-19,1
1093,2014-03-25,5
1094,2014-03-26,2
1095,2014-03-29,1
1096,2014-03-30,1
1097,2014-04-05,3
1098,2014-04-06,1
1099,2014-04-07,1
1100,2014-04-08,5
1101,2014-04-09,3
1102,2014-04-12,3
1103,2014-04-13,3
1104,2014-04-14,1
1105,2014-04-15,5
1106,2014-04-16,16
1107,2014-04-19,4
1108,2014-04-20,5
1109,2014-04-21,4
1110,2014-04-22,6
1111,2014-04-23,2
1112,2014-04-26,5
1113,2014-04-27,5
1114,2014-04-28,7
1115,2014-04-29,6
1116,2014-04-30,8
1117,2014-05-03,6
1118,2014-05-04,4
1119,2014-05-05,1
1120,2014-05-06,5
1121,2014-05-07,3
1122,2014-05-10,9
1123,2014-05-11,1
1124,2014-05-12,2
1125,2014-05-14,1
1126,2014-05-17,5
1127,2014-05-18,3
1128,2014-05-19,3
1129,2014-05-20,6
1130,2014-05-21,1
1131,2014-05-24,5
1132,2014-05-25,5
1133,2014-05-26,5
1134,2014-05-28,2
1135,2014-05-31,3
1136,2014-06-01,8
1137,2014-06-02,1
1138,2014-06-03,3
1139,2014-06-09,8
1140,2014-06-10,6
1141,2014-06-11,7
1142,2014-06-14,3
1143,2014-06-15,2
1144,2014-06-16,4
1145,2014-06-17,6
1146,2014-06-21,5
1147,2014-06-22,3
1148,2014-06-23,5
1149,2014-06-24,1
1150,2014-06-28,3
1151,2014-06-30,3
1152,2014-07-01,28
1153,2014-07-02,3
1154,2014-07-05,3
1155,2014-07-06,8
1156,2014-07-07,31
1157,2014-07-09,2
1158,2014-07-12,11
1159,2014-07-13,28
1160,2014-07-15,8
1161,2014-07-20,3
1162,2014-07-21,3
1163,2014-07-22,39
1164,2014-07-23,4
1165,2014-07-26,1
1166,2014-07-28,8
1167,2014-08-02,3
1168,2014-08-03,3
1169,2014-08-04,3
1170,2014-08-05,1
1171,2014-08-06,2
1172,2014-08-09,2
1173,2014-08-10,2
1174,2014-08-12,2
1175,2014-08-13,4
1176,2014-08-16,23
1177,2014-08-17,4
1178,2014-08-18,12
